,ID,DeviceSerial,Vin,MessageType,ReportType,MsgNum,TripState,ReceivedTimestamp,Latitude,Longitude,MessageXML,ProcessedTimestamp,IsProcessed,CollectionTimestamp,ManufacturerSerial
48749,940844599,1088217018,,GPS,TimeExpired1,5160,,2019-01-18 19:09:10.357,43.69929504394529,-79.602897644043,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5160"" TripState=""N/A"" VIN="""" Latitude=""43.6993"" Longitude=""-79.6029""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>73.7</Course><GPSMessageNumber /><Speed>43.174898803710938</Speed><CollectionTimestamp>2019-01-18T19:09:16</CollectionTimestamp><TotalDistance>1937.6431035954208</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:09:16.000,816807
48753,940845530,1088217018,,Acceleration,QuickAcceleration,2343,,2019-01-18 19:09:50.657,43.698726654052706,-79.6009826660156,"<AccelerationAlarm ReportType=""QuickAcceleration"" DeviceSerial=""1088217018"" MsgNum=""2343"" TripState=""N/A"" VIN="""" Latitude=""43.69873"" Longitude=""-79.60098""><Acceleration><Direction /><RawValue>23</RawValue><ConvertedValue>2.2563000000000004</ConvertedValue><TotalDistance>1937.8745088000003</TotalDistance></Acceleration></AccelerationAlarm>",,0,2019-01-18 19:09:56.000,816807
48754,940845992,1088217018,,GPS,TimeExpired1,5161,,2019-01-18 19:10:09.203,43.6958427429199,-79.5996856689453,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5161"" TripState=""N/A"" VIN="""" Latitude=""43.69584"" Longitude=""-79.59969""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>161.6</Course><GPSMessageNumber /><Speed>64.669697391510013</Speed><CollectionTimestamp>2019-01-18T19:10:16</CollectionTimestamp><TotalDistance>1938.2082027773374</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:10:16.000,816807
48758,940847426,1088217018,,GPS,TimeExpired1,5162,,2019-01-18 19:11:10.607,43.6913948059082,-79.59765625,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5162"" TripState=""N/A"" VIN="""" Latitude=""43.69139"" Longitude=""-79.59766""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>159.9</Course><GPSMessageNumber /><Speed>38.542401065826418</Speed><CollectionTimestamp>2019-01-18T19:11:16</CollectionTimestamp><TotalDistance>1938.7193523609808</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:11:16.000,816807
48761,940848676,1088217018,,GPS,TimeExpired1,5163,,2019-01-18 19:12:10.107,43.6912651062012,-79.5959701538086,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5163"" TripState=""N/A"" VIN="""" Latitude=""43.69127"" Longitude=""-79.59597""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>47.2</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2019-01-18T19:12:16</CollectionTimestamp><TotalDistance>1938.9193011545824</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:12:16.000,816807
48765,940849834,1088217018,,GPS,TimeExpired1,5164,,2019-01-18 19:13:10.107,43.6912651062012,-79.5959701538086,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5164"" TripState=""N/A"" VIN="""" Latitude=""43.69127"" Longitude=""-79.59597""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>47.2</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2019-01-18T19:13:16</CollectionTimestamp><TotalDistance>1938.9193011545824</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:13:16.000,816807
48768,940850466,1088217018,,J1939,Current State,2344,On Route,2019-01-18 19:13:46.107,43.6912612915039,-79.5959777832031,"<JBus ReportType=""Current State"" DeviceSerial=""1088217018"" MsgNum=""2344"" TripState=""On Route"" VIN="""" Latitude=""43.69126"" Longitude=""-79.59598""><JBusData><Course>47.2</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221897</TotalDistanceInMiles><Speed>0</Speed><EngineSpeed>592</EngineSpeed><EngineLoad>19</EngineLoad><TotalFuelUsed>137815</TotalFuelUsed><EngineOnTime>3302</EngineOnTime><IdleTime>1883</IdleTime><FuelLevPrimary>84</FuelLevPrimary><TotalEngineHours>201686</TotalEngineHours><PBrkState>1</PBrkState><IdleTimeSinceEngOn>2150</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-18 19:13:52.000,816807
48769,940850891,1088217018,,GPS,TimeExpired1,5165,,2019-01-18 19:14:10.107,43.6912612915039,-79.5959777832031,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5165"" TripState=""N/A"" VIN="""" Latitude=""43.69126"" Longitude=""-79.59598""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>47.2</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2019-01-18T19:14:16</CollectionTimestamp><TotalDistance>1938.9196059545725</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:14:16.000,816807
48774,940851918,1088217018,,GPS,TimeExpired1,5166,,2019-01-18 19:15:10.093,43.6912612915039,-79.5959777832031,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5166"" TripState=""N/A"" VIN="""" Latitude=""43.69126"" Longitude=""-79.59598""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>47.2</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2019-01-18T19:15:16</CollectionTimestamp><TotalDistance>1938.9196059545725</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:15:16.000,816807
48777,940853195,1088217018,,GPS,TimeExpired1,5167,,2019-01-18 19:16:10.107,43.6912612915039,-79.5959777832031,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5167"" TripState=""N/A"" VIN="""" Latitude=""43.69126"" Longitude=""-79.59598""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>47.2</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2019-01-18T19:16:16</CollectionTimestamp><TotalDistance>1938.9199107545628</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:16:16.000,816807
